"Attention","Meditation","Delta","Theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma"
48,51,159043,88211,28345,5868,9020,16228,4883,5397
53,57,1155140,46175,44536,55713,29634,34214,28386,65940
47,60,125750,26575,12066,3573,2002,6852,8867,5338
40,70,146200,10590,13213,4452,5022,1858,2946,3707
41,75,510609,69127,1161,11064,12706,5115,13249,3532
41,67,392583,49294,4588,24722,5454,16405,13042,9809
29,54,631195,90783,3625,9124,3748,5735,12935,10750
23,44,46038,44330,7038,7574,2056,1885,4317,2729
21,44,41641,5887,210,728,593,398,1185,575
16,29,203393,94495,7695,4237,12758,14044,5612,11112
29,35,776210,48163,9159,4418,7319,13710,14030,9610
35,35,534435,112006,37051,15203,19949,7944,7148,13168
51,48,1261247,28369,30451,5499,20986,23341,13238,8144
51,57,918158,514847,69080,101288,23583,91879,85556,41764
44,64,306777,31606,4256,9155,418,4581,1642,2026
50,61,613809,72490,3597,18280,5668,7507,6998,2304
43,56,255875,54832,9541,13010,10773,13108,6829,5734
30,44,63052,91659,6689,958,1595,4196,2014,3297
30,48,681747,71558,34479,17688,9125,13899,13841,12860
37,50,824806,141755,33491,22195,16910,28923,10215,10178
27,48,281259,68008,15501,7176,8828,6094,3809,577
30,64,1500012,211867,62250,60475,48003,24048,45180,44950
1,51,600503,113830,16994,6613,10642,4558,2246,3927
1,51,105518,54499,10200,10184,5864,2773,6138,3778
1,64,598165,21202,35890,13232,2621,5515,11378,4547
4,60,1709927,115404,8378,10895,15369,7689,11261,7858
16,67,65735,21542,2367,8617,735,3533,2381,2929
16,70,158826,21554,7212,4475,4018,1202,3361,1042
29,60,95012,15014,5508,6637,2368,7054,3487,2685
34,67,639461,49300,10124,6364,3962,6414,5017,6901
27,75,1979975,514047,491480,26982,27740,58083,57926,25489
44,75,87200,50207,30142,5463,18626,15532,10191,10887
29,67,3197236,184227,32400,22910,17397,13035,10810,7496
34,67,534125,35466,12980,6556,16806,6684,6095,5325
37,48,1521866,136128,7256,8985,12048,14246,10386,5578
26,41,305871,80934,4831,13038,2071,7085,5959,5223
38,41,654378,18705,5814,498,2705,3941,4451,2238
29,37,1093148,330111,21963,50831,50801,23358,12609,15727
27,40,243332,97853,5650,11802,5650,8225,12700,14747
14,26,78891,82226,1173,2670,3274,1151,5994,2915
27,38,214556,55050,2071,18381,5252,13131,7659,8326
20,37,151060,65869,7986,1785,4443,1907,2112,5661
37,47,52632,16697,2539,184,1693,1377,1382,1773
30,37,134774,39485,7317,1155,1966,4955,2708,2392
29,34,1898383,145996,22587,13382,10452,24760,8676,6413
35,41,110550,160469,32561,22458,4448,8186,10173,16363
27,37,113010,90997,4640,2923,1306,3672,3698,2263
29,38,195541,26326,4372,4358,2789,4577,4639,2742
17,43,1231017,258872,57707,36437,15488,14244,11558,12565
24,48,236257,32429,3942,16115,3887,3718,7947,2282
30,74,161003,36460,26946,53681,23041,8860,8187,11411
23,83,260383,95986,42191,49541,12669,9799,12866,11183
38,81,1834960,206081,68526,15847,35811,53151,55171,27529
47,90,145866,29773,25518,54637,19197,21511,15754,8756
53,63,139108,26051,1828,5550,6425,3989,3671,4952
44,60,33434,22019,2483,1950,1637,1977,1123,802
48,47,54543,20995,2624,8042,3980,8872,849,1507
44,50,57934,126798,41937,8386,4728,7578,7430,7527
29,53,590626,917489,145362,127485,25602,27278,77988,29103
20,27,68269,5951,1064,729,410,511,816,781
29,44,106739,124771,30767,10478,5776,16439,13385,12648
38,67,1434611,60483,16427,39256,5939,10552,7255,3650
37,57,667036,101437,14827,5169,12150,8596,3240,7158
43,63,653272,42836,14619,16980,10676,10921,13035,4720
43,69,108172,54603,34333,6615,8298,8899,11623,6055
47,69,121361,8127,5593,4471,3969,2177,1820,2220
37,67,1007089,178577,20246,6667,2128,5921,9172,3147
24,64,283395,138736,38048,11295,12396,7543,15541,3620
17,50,2328772,1036890,110483,24464,27688,56566,47955,18724
13,24,604795,178166,1535,9339,9768,12314,8857,8435
23,35,33128,12192,4433,1356,1421,1478,2242,1623
40,38,43502,40399,23988,6360,5320,18059,12258,4306
50,48,279011,12942,2574,4596,3370,2659,3984,3716
56,64,506294,40382,15436,5907,16995,8216,11560,8603
66,64,1153582,29505,14609,2062,7279,11173,8372,6124
47,57,93094,32528,4594,3254,2208,1279,4342,2329
34,63,469382,399164,334378,8552,69579,23139,38913,15591
29,66,1178592,260892,91203,49734,46719,40726,44434,45519
14,47,533014,186372,5939,3540,6361,9849,3431,2509
40,60,37435,6653,11187,4896,2587,9482,3275,2141
47,61,76089,37925,25744,8813,4517,4280,6111,2946
44,60,846426,152515,33607,34299,12587,17046,8667,7527
53,78,73230,14400,4405,1434,1865,2455,3019,2400
40,75,169208,48154,20129,19565,5138,7732,5805,9809
44,63,2359764,274252,54719,21123,36188,37714,13540,26111
34,57,101013,52824,4037,9116,3467,1719,2866,2101
29,50,96138,69624,5797,3876,4767,6935,2797,4769
41,43,439005,35960,6896,11288,4584,16312,6843,2753
38,30,2270453,1207705,64099,31633,23557,102340,27015,21795
51,30,1493543,66551,3168,16003,11324,8473,26037,13333
47,48,816273,123330,53030,56440,24381,12040,19219,8817
29,44,168028,33615,5848,2996,2008,2111,6643,2369
30,63,36367,17915,4348,4870,1508,2775,2610,2299
34,64,202320,47354,11859,3445,4806,8174,12051,9466
34,54,313405,145539,28165,11289,3276,8442,8365,21206
41,64,963159,39842,11544,26099,9927,9467,13406,10523
34,56,288258,82719,14559,3078,10070,4010,11973,7781
35,56,622099,100795,18071,17399,9406,24198,14573,9011
44,61,1009847,87232,28736,20732,17015,17072,13909,10128
41,47,79593,9668,702,949,694,1142,2319,790
57,50,128994,13541,3805,3320,7937,4247,2667,2794
64,54,2239,2426,2929,2361,7032,2711,2823,2744
67,38,55470,25315,700,1610,5044,5303,4985,3191
57,48,198678,201950,73742,8629,10233,8748,5166,8940
50,57,185765,94891,100547,5009,10809,16580,6909,4337
34,56,27347,25544,1759,10319,828,2407,1507,3313
27,67,295234,42157,9493,1463,4467,5528,3276,1295
41,69,679095,97875,54027,12405,13170,21776,10833,9804
40,50,100080,20467,774,1520,1015,1777,499,422
53,43,1298276,98801,25408,10550,31532,33524,44278,7667
47,38,298771,101732,10320,4302,8761,7103,12713,7444
63,29,15085,2051,929,347,1907,2026,1035,966
66,38,625082,508436,113441,43877,72967,77739,17630,25823
63,43,136195,108437,24637,29127,17523,27111,9137,8126
67,56,821647,89101,28644,32868,30161,14856,21425,31580
51,57,116475,30132,4223,7908,7757,4106,2950,4070
47,60,422112,80430,14171,10157,6641,7479,9828,7028
40,44,278593,97466,4749,4157,5190,8307,7908,3630
26,29,1482587,366827,12627,18934,13744,8936,4902,12157
38,40,121661,11874,20799,5417,4361,14533,13946,8472
43,38,303456,38165,5810,4637,2434,5586,5845,5450
61,53,9428,9116,5370,3458,3829,10381,3069,3614
88,74,10722,5531,2306,7452,3412,6009,6598,4335
69,69,848138,93649,36770,36553,14034,9853,8503,11062
63,63,82820,30146,1913,1828,1877,2003,2423,1709
37,63,1343832,807120,276596,115582,83559,46071,44884,37473
13,56,41542,45311,13008,5119,3211,2172,3544,1956
14,51,678628,382137,48135,85766,33882,36736,60259,18338
20,60,46978,18459,2302,3884,2568,2504,4105,2898
35,56,764811,40055,2282,12366,10925,9625,4183,3070
41,51,121279,125795,20245,9689,7592,9819,4856,2304
47,48,127182,38755,7528,4055,3369,6607,17537,2982
38,43,132314,50813,5196,3433,3409,2397,2122,1980
29,48,249604,22503,7202,3876,1063,2469,2145,2004
40,50,48137,43925,6927,5422,2801,9917,5233,6332
37,48,146995,43121,4835,6416,4804,4628,6046,2450
48,53,87264,5540,345,2233,1925,1193,1398,1307
56,54,97878,12853,7344,2015,3625,3271,3177,1149
43,50,55868,38701,2392,3080,3434,1822,1504,1748
63,51,188720,16200,8852,2185,5651,21379,2626,5337
41,47,944136,248341,16913,9156,5326,12636,12563,4279
47,48,367611,46741,6606,4233,11008,3952,4641,1350
34,43,1291971,79042,9289,5347,4797,19142,11314,7312
35,44,274108,37903,40482,13430,5154,5751,6829,8113
40,66,525521,41808,34509,3104,5320,6041,6951,3959
40,75,174951,76173,22866,15308,12809,7247,2428,7907
34,77,394229,136004,3294,25053,9869,15890,24057,23422
35,61,340301,89096,10661,17213,10110,8723,7980,6577
43,43,139067,20952,1078,2237,2621,4024,3965,1904
